sample;E;N;Z;E_rel;N_rel;Lat;Long;sio2;tio2;al2o3;fe2o3;mno;mgo;cao;na2o;k2o;p2o5;LOI;v;cr;co;ni;cu;zn;ga;rb;sr;y;zr;nb;ba;la;ce;sc;pb;th;as;s
;m;m;m;m;m;deg;deg;perc;perc;perc;perc;perc;perc;perc;perc;perc;perc;perc;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm
V;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sample;Easting;Northing;Heigth;Easting_rel;Northing_rel;Latitude;Longitude;SiO2;TiO2;Al2O3;Fe2O3;MnO;MgO;CaO;Na2O;K2O;P2O5;LOI;V;Cr;Co;Ni;Cu;Zn;Ga;Rb;Sr;Y;Zr;Nb;Ba;La;Ce;Sc;Pb;Th;As;S
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Reno630;689311.63;4911826.81;0;42368.33;36969.54;44.333274;11.373535;47.47;0.43;8.42;3.77;0.2;2.42;19.97;0.94;1.38;0.1;14.89;51;439;8;88;27;62;9;65;424;26;285;10;325;22;37;19;7;8;8;337
Reno631;690031.89;4916258.01;0;43088.59;41400.74;44.372945;11.384178;49.03;0.4;9.64;3.77;0.16;2.98;18.3;0.88;1.73;0.1;13.03;50;137;6;73;24;63;14;82;413;18;155;9;281;20;29;16;6;10;9;808
Reno632;685636.42;4917735.11;0;38693.12;42877.84;44.38737;11.329581;49.34;0.55;11.98;4.82;0.14;3.05;14.11;0.73;1.76;0.11;13.39;68;131;10;57;29;78;14;89;363;24;203;13;263;25;55;16;4;8;5;1119
Reno633;685631.93;4914795.59;0;38688.63;39938.32;44.360929;11.328476;48.7;0.45;10.59;4.44;0.14;3.37;16.04;0.87;1.62;0.1;13.67;62;209;11;89;28;75;13;82;416;21;222;11;307;21;39;16;13;8;6;1333
Reno634;669951.54;4924047.14;0;23008.24;49189.87;44.448002;11.134871;43.66;0.53;9.99;4.05;0.15;2.58;20.63;0.63;1.53;0.15;16.11;61;176;7;64;32;74;15;76;396;20;269;12;325;18;44;20;8;6;2;1015
Reno635;717547.63;4912449.95;0;70604.33;37592.68;44.330973;11.727589;56.13;0.65;13.23;4.28;0.14;2.09;8.78;0.79;1.83;0.13;11.95;83;117;9;55;38;82;16;107;215;26;284;15;341;35;64;13;24;11;15;512
Reno636;715649.91;4912118.28;0;68706.61;37261.01;44.328556;11.703676;48.23;0.52;11.27;4.08;0.12;2.87;14.43;0.89;1.91;0.12;15.55;71;101;9;55;38;77;13;99;313;22;158;11;309;25;48;20;19;10;10;495
Reno637;710929.48;4907473.12;0;63986.18;32615.85;44.288166;11.642659;46.87;0.58;12.36;4.93;0.12;3.2;13.24;0.63;1.97;0.14;15.97;92;121;10;64;37;90;17;106;373;24;148;15;335;19;51;17;10;12;14;1092
Reno638;708581.06;4905766.7;0;61637.76;30909.43;44.273496;11.612575;49.16;0.79;10.65;4.36;0.13;3.78;13.98;1.17;1.83;0.18;13.97;77;116;8;45;28;69;16;88;454;33;405;14;319;31;68;17;17;16;6;1480
Reno639;706422.45;4907260.25;0;59479.15;32402.98;44.287544;11.586144;45.34;0.59;13.02;5.22;0.12;3.22;13.51;0.45;2.06;0.13;16.34;99;126;12;73;37;95;20;108;377;21;119;14;321;25;59;19;15;7;9;1312
Reno640;710217.92;4908753.17;0;63274.62;33895.9;44.299884;11.634265;49.36;0.44;9.88;3.75;0.14;2.63;15.73;1;1.74;0.15;15.18;61;102;7;53;32;71;16;84;376;21;140;13;325;19;47;18;12;8;4;782
Reno641;711830.92;4911218.01;0;64887.62;36360.74;44.321583;11.655464;45.24;0.56;11.09;4.31;0.13;3.63;15.21;0.8;1.9;0.14;17;77;109;9;59;34;81;16;98;333;23;149;13;285;22;50;17;15;10;6;841
Reno642;718164.35;4914630.39;0;71221.05;39773.12;44.350396;11.736228;51.7;0.58;11.64;4.34;0.15;2.81;12.44;0.96;1.7;0.14;13.54;69;111;7;47;30;77;16;90;321;28;227;14;353;27;72;16;15;11;7;1183
