sample;E;N;Z;E_rel;N_rel;Lat;Long;sio2;tio2;al2o3;fe2o3;mno;mgo;cao;na2o;k2o;p2o5
;m;m;m;m;m;deg;deg;perc;perc;perc;perc;perc;perc;perc;perc;perc;perc
V;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+
;;;;;;;;;;;;;;;;;
Sample;Easting;Northing;Heigth;Easting_rel;Northing_rel;Latitude;Longitude;SiO2;TiO2;Al2O3;Fe2O3;MnO;MgO;CaO;Na2O;K2O;P2O5
;;;;;;;;;;;;;;;;;
Reno382;663960.94;4892917.71;0;17017.64;18060.44;44.169308;11.049857;52.68;0.52;14.38;4.77;0.13;2.6;9.3;0.96;1.98;0.1
Reno383;664245.28;4892208.71;0;17301.98;17351.44;44.162865;11.05319;48.81;0.53;14.76;5.21;0.15;2.86;10.67;0.78;2.02;0.09
Reno384;663458.84;4890942.54;0;16515.54;16085.27;44.151649;11.042967;52.87;0.68;18.36;6.07;0.13;2.92;4.82;0.64;2.35;0.1
Reno385;663420.19;4890056.77;0;16476.89;15199.5;44.143688;11.042209;58.12;0.62;15.91;4.97;0.11;3.75;3.5;1.21;2.12;0.16
Reno386;664190.51;4885349.17;0;17247.21;10491.9;44.101159;11.050368;61.76;0.61;13.23;3.94;0.08;3.29;2.38;1.69;1.7;0.16
Reno387;664633.24;4882898.87;0;17689.94;8041.6;44.079013;11.055132;65;0.62;14.36;4.66;0.07;3.41;0.9;1.62;1.91;0.14
Reno388;663541.62;4877709.79;0;16598.32;2852.52;44.032568;11.039903;61.67;0.62;14.36;4.04;0.09;3.02;0.66;1.46;1.66;0.15
Reno389;660710.98;4875571.17;0;13767.68;713.9;44.01395;11.003951;56.57;0.61;15.78;4.25;0.15;3.71;0.77;1.14;1.91;0.15
Reno390;669826.53;4904009.06;0;22883.23;29151.79;44.267756;11.126767;56.96;0.69;17.89;6.61;0.2;2.79;3.23;0.54;2.01;0.08
Reno391;668736.74;4902330.56;0;21793.44;27473.29;44.252908;11.112581;53.4;0.65;18.45;5.8;0.13;3;4.9;0.57;2.46;0.09
Reno392;668337.75;4901840.13;0;21394.45;26982.86;44.248588;11.107429;45.56;0.58;14.4;5.88;0.16;7.55;8.01;0.55;1.79;0.09
Reno393;667664.37;4901116.87;0;20721.07;26259.6;44.242236;11.098769;50.27;0.63;17.29;5.72;0.16;3.14;7.59;0.66;2.39;0.08
Reno394;668019.14;4899560.09;0;21075.84;24702.82;44.228148;11.10271;51.59;0.77;19.69;6.76;0.24;3.31;2.37;0.56;2.58;0.09
Reno395;665104.67;4895350.28;0;18161.37;20493.01;44.190937;11.064918;63.2;0.5;15.38;4.09;0.11;2.28;3.93;1.14;2.17;0.08
Reno396;665307.2;4894709.62;0;18363.9;19852.35;44.185127;11.067249;58.57;0.49;14.82;4.41;0.15;2.68;6.67;0.95;2.2;0.09
Reno397;665643.9;4892897.32;0;18700.6;18040.05;44.168745;11.070888;46.33;0.6;15.7;5.76;0.15;3.07;11.06;0.73;2;0.1
Reno398;667026.87;4892632.66;0;20083.57;17775.39;44.166049;11.088091;52.12;0.7;17.87;5.98;0.18;3.07;5.14;0.66;2.2;0.11
Reno399;667028.27;4892309.82;0;20084.97;17452.55;44.163144;11.088006;43.33;0.6;14.85;5.33;0.11;3.6;12.58;0.73;2.04;0.11
Reno400;667476.64;4891250.89;0;20533.34;16393.62;44.153514;11.093273;41.79;0.61;15.58;5.14;0.1;2.58;13.15;0.56;2.02;0.11
Reno401;663244.12;4891617.51;0;16300.82;16760.24;44.15777;11.040493;59.16;0.37;11.23;2.43;0.05;1.63;10.83;1.51;2.25;0.09
Reno402;663826.61;4890287.61;0;16883.31;15430.34;44.145674;11.047359;40.43;0.55;14.35;4.96;0.12;2.49;14.73;0.57;1.77;0.1
Reno403;664677.83;4890056.45;0;17734.53;15199.18;44.143403;11.057923;46.41;0.65;17.05;6.31;0.17;3.41;9.03;0.57;2.09;0.09
Reno404;664397.42;4889773.25;0;17454.12;14915.98;44.140918;11.054331;44.84;0.62;16.54;5.55;0.11;2.74;10.58;0.61;2.08;0.1
Reno405;663694.53;4883706.73;0;16751.23;8849.46;44.086492;11.043666;57.98;0.56;12.87;3.85;0.07;3.12;2.8;1.49;1.67;0.18
Reno406;662667.9;4882951.35;0;15724.6;8094.08;44.079924;11.030618;56.86;0.51;12.94;3.92;0.1;3.2;4.69;1.36;1.72;0.37
Reno407;660854.7;4880631.2;0;13911.4;5773.93;44.059448;11.00728;54.76;0.46;11.35;4.01;0.09;3.17;7.04;1.08;1.71;0.15
Reno408;663532.92;4880135.88;0;16589.62;5278.61;44.054399;11.040544;60.2;0.56;13.06;4.12;0.07;2.96;1.04;1.52;1.65;0.16
Reno409;662116.85;4875007.68;0;15173.55;150.41;44.008571;11.021307;52.66;0.53;13.3;3.93;0.11;2.81;1.74;1.09;1.63;0.15
Reno410;660921.63;4876574.53;0;13978.33;1717.26;44.022932;11.006882;56.57;0.51;13.07;3.82;0.09;2.88;1.03;1.38;1.59;0.14
Reno411;664568.73;4899782.28;0;17625.43;24925.01;44.230934;11.059606;68;0.32;11.97;2.96;0.08;1.72;4.56;1.47;2.44;0.06
Reno412;663615.18;4899696.41;0;16671.88;24839.14;44.230376;11.047647;66.88;0.34;12.49;2.96;0.08;1.85;4.66;1.51;2.59;0.08
Reno413;679670.43;4914996.77;0;32727.13;40139.5;44.364239;11.253793;54.72;0.54;14.79;4.7;0.1;2.67;8.52;1.09;1.95;0.08
Reno414;681364.89;4916034.54;0;34421.59;41177.27;44.373153;11.275403;56.19;0.47;13.4;4.53;0.12;2.44;8.19;1.26;1.82;0.07
Reno415;680927.14;4912557.55;0;33983.84;37700.28;44.341984;11.268705;59.39;0.4;11.36;3.86;0.11;2.01;8.1;1.56;1.54;0.08
Reno416;676186.71;4907163.58;0;29243.41;32306.31;44.294624;11.20746;49.77;0.36;9.35;3.21;0.1;1.59;15.59;1.25;1.44;0.07
Reno417;679137.89;4917219.05;0;32194.59;42361.78;44.384362;11.24788;56.39;0.39;11.46;3.62;0.13;1.96;10.83;1.35;1.73;0.09
Reno418;679660.28;4915846.44;0;32716.98;40989.17;44.371885;11.253959;57.67;0.42;11.66;3.96;0.12;2.04;9.59;1.43;1.65;0.1
Reno419;680368.87;4914313.82;0;33425.57;39456.55;44.357922;11.262315;56.45;0.38;11.2;3.51;0.12;1.92;10.7;1.43;1.6;0.09
Reno420;680231.49;4913807.13;0;33288.19;38949.86;44.353398;11.260417;50.97;0.4;11.41;3.52;0.09;2;12.57;1.07;1.8;0.07
Reno421;681017.94;4911998.36;0;34074.64;37141.09;44.336931;11.269649;76.34;0.22;8.97;1.26;0.06;0.74;3.83;1.93;2.12;0.07
Reno422;680267.09;4910934.57;0;33323.79;36077.3;44.327548;11.25987;65.63;0.27;9.74;2.33;0.09;1.27;8.01;1.66;1.81;0.06
Reno423;675401.33;4906032.59;0;28458.03;31175.32;44.284639;11.197243;67.36;0.27;10.16;2.2;0.08;1.32;7.11;1.68;2;0.06
Reno424;674917.94;4902753.81;0;27974.64;27896.54;44.255258;11.190093;76.94;0.13;9.6;1.03;0.04;0.7;3.39;1.94;2.51;0.04
Reno425;681527.78;4906990.73;0;34584.48;32133.46;44.291756;11.274298;72.17;0.17;10.17;1.63;0.06;1.04;5.22;1.79;2.38;0.05
Reno426;679560.79;4905572.32;0;32617.49;30715.05;44.279484;11.249175;68.63;0.24;10.66;2.05;0.07;1.32;6.41;1.7;2.32;0.07
Reno427;679170.08;4904207.58;0;32226.78;29350.31;44.267303;11.243815;66.46;0.26;10.68;2.37;0.09;1.46;7.19;1.65;2.09;0.06
Reno428;679204.47;4902906.07;0;32261.17;28048.8;44.255586;11.2438;57.55;0.29;9.46;2.64;0.11;1.5;11.77;1.44;1.74;0.07
Reno429;679018.78;4898817.15;0;32075.48;23959.88;44.218847;11.240079;59.09;0.26;9.08;2.52;0.11;1.44;12.27;1.48;1.74;0.06
Reno430;679955.77;4910170.54;0;33012.47;35313.27;44.320752;11.255705;60.46;0.31;10.35;2.87;0.1;1.67;10.2;1.45;1.86;0.07
Reno431;678875.15;4897622.62;0;31931.85;22765.35;44.208136;11.237875;62.92;0.24;9.54;2.41;0.11;1.4;10.16;1.57;1.83;0.06
Reno432;677741.35;4899501.61;0;30798.05;24644.34;44.225317;11.224331;61.55;0.28;9.08;2.55;0.12;1.34;10.6;1.53;1.7;0.06
Reno433;677841.24;4898051.16;0;30897.94;23193.89;44.212244;11.225089;10.34;0.12;2.7;1.03;0.03;0.67;45.84;0.26;0.47;0
Reno434;680136.54;4909668.96;0;33193.24;34811.69;44.316195;11.257797;55.33;0.46;12.35;3.34;0.07;1.96;9.47;1.14;2.04;0.12
Reno435;680232.05;4909096.33;0;33288.75;34239.06;44.31102;11.258796;30.34;0.27;6.19;1.84;0.05;0.98;31.01;0.67;1.14;0.06
Reno436;679857.53;4909256.65;0;32914.23;34399.38;44.312555;11.254159;50.16;0.37;9.77;2.71;0.07;1.47;14.75;0.97;1.7;0.11
Reno437;679207.82;4908252.16;0;32264.52;33394.89;44.303679;11.245674;57.64;0.47;12.36;3.06;0.07;2.05;9.09;1.42;2.13;0.07
Reno438;678320.78;4907828.09;0;31377.48;32970.82;44.300082;11.234417;77.83;0.17;11.15;0.9;0.02;0.62;0.68;1.86;2.67;0.04
Reno439;678218.52;4907285.62;0;31275.22;32428.35;44.295227;11.232951;59.38;0.47;12.44;2.83;0.07;1.68;7.6;1.37;2.09;0.08
Reno440;677334.97;4907297.3;0;30391.67;32440.03;44.295548;11.221888;80.24;0.21;8.51;1;0.05;0.48;2.27;1.74;2.29;0.05
Reno441;676785.51;4907180.29;0;29842.21;32323.02;44.294629;11.214966;83.28;0.18;8.64;0.49;0.02;0.39;1.3;1.98;2.58;0.06
Reno442;676151.91;4906507.6;0;29208.61;31650.33;44.288731;11.206803;76.2;0.15;9.62;1.03;0.06;0.7;3.42;1.86;2.63;0.05
Reno443;675538.03;4905520.49;0;28594.73;30663.22;44.279999;11.198783;54.06;0.4;10.7;4.06;0.17;2;13.72;0.98;1.59;0.08
Reno444;675402.8;4905035.56;0;28459.5;30178.29;44.275669;11.196927;53.57;0.39;11.06;3.94;0.17;1.91;14.47;1.03;1.61;0.07
Reno445;674889.55;4904251.31;0;27946.25;29394.04;44.268737;11.190238;47.75;0.42;10.76;4.47;0.19;3.08;16.44;0.92;1.33;0.08
Reno446;674652.11;4903300.82;0;27708.81;28443.55;44.260243;11.186948;51.52;0.37;10.26;4.1;0.18;2.43;15.45;1.07;1.44;0.07
Reno447;678444.94;4896700.53;0;31501.64;21843.26;44.199946;11.232181;55.86;0.37;9.38;3.62;0.15;2.19;12.62;1.15;1.41;0.07
Reno448;677929.09;4898933.24;0;30985.79;24075.97;44.220158;11.226487;61.77;0.2;7.29;2.71;0.2;1.61;9.95;1.45;1.06;0.04
Reno449;677760.03;4899894.83;0;30816.73;25037.56;44.22885;11.224698;61.19;0.35;7.47;2.41;0.13;1.86;13.32;1.52;1.26;0.05
Reno450;678251.42;4901353.1;0;31308.12;26495.83;44.241849;11.231342;55.64;0.34;7.89;3.16;0.16;1.87;14.42;1.14;1.31;0.06
Reno451;678159.29;4900832.27;0;31215.99;25975;44.237186;11.230012;54.89;0.64;17.1;5.95;0.18;2.83;4.76;0.69;2.01;0.08
Reno452;677817.63;4901690.47;0;30874.33;26833.2;44.24499;11.226028;57.09;0.4;13.55;3.77;0.09;2.31;9.23;1.03;2.26;0.07
Reno453;678173.37;4902525.14;0;31230.07;27667.87;44.252412;11.230764;72.01;0.15;8.92;0.83;0.03;0.82;6.34;1.78;2.45;0.07
Reno454;677511.48;4902733.28;0;30568.18;27876.01;44.254446;11.22255;66.9;0.35;11.37;2.84;0.12;1.89;5.84;1.65;2.15;0.11
Reno455;677761.42;4903768.48;0;30818.12;28911.21;44.263698;11.22603;50.62;0.42;12.13;4.16;0.18;3.23;12.3;1.03;1.99;0.1
Reno456;676851.2;4903898.81;0;29907.9;29041.54;44.265092;11.214679;77.67;0.21;9.5;0.89;0.03;0.61;2.57;2.01;2.35;0.05
