id;xcoord;ycoord;fid;castanea;vege;cat_vege;z_coord
;m;m;;;;;m
V;R;R;;;V;K;A
;;;;;;; 
id_cat;x;y;;;name_vegetation;category;absolute_depth
;;;;;;; 
387;1625973.90263762;4841475.27961639;160;;pineta;6;0
441;1626294.56626004;4840989.06746141;160;;pineta;6;0
447;1626160.97726477;4841577.39778857;160;;pineta;6;0
459;1626388.50809508;4841087.97941238;160;;pineta;6;0
466;1626295.72478279;4841725.34610083;160;;pineta;6;0
481;1626228.8880997;4841210.9002424;160;;pineta;6;0
524;1626269.642502;4841089.06544092;160;;pineta;6;0
539;1626272.52040991;4841337.31983855;160;;pineta;6;0
608;1626204.91459132;4841239.81358585;160;;pineta;6;0
652;1626017.30678011;4841313.60708508;160;;pineta;6;0
667;1626150.20651128;4841310.30862601;160;;pineta;6;0
668;1626366.31543932;4840489.98613204;160;;pineta;6;0
671;1625665.49111564;4841282.76130451;160;;pineta;6;0
688;1626076.3653599;4840751.00055694;160;;pineta;6;0
692;1625735.56406534;4840953.86223703;160;;pineta;6;0
760;1625943.04433702;4840907.27627026;160;;pineta;6;0
777;1625983.24104484;4841176.99250184;160;;pineta;6;0
785;1626318.84403394;4840589.95125592;160;;pineta;6;0
897;1626166.26281063;4841565.94677618;160;;pineta;6;0
908;1626382.44824056;4841392.13591987;160;;pineta;6;0
919;1625921.91968043;4841242.32190382;160;;pineta;6;0
920;1625878.47398019;4841321.31647977;160;;pineta;6;0
936;1626150.66249382;4840694.61565216;160;;pineta;6;0
993;1626385.16111154;4840866.46143176;160;;pineta;6;0
18;1622628.52303879;4840865.76772763;161;;formazione_di_pino_post_incendio;7;0
585;1623015.53349322;4840555.0294898;161;;formazione_di_pino_post_incendio;7;0
794;1622698.32549292;4840856.39522816;161;;formazione_di_pino_post_incendio;7;0
8;1625480.11862694;4840378.23891484;162;;formazione_di_pino_post_incendio;7;0
28;1625678.62057346;4840304.55360585;162;;formazione_di_pino_post_incendio;7;0
104;1625722.0283351;4840263.79113249;162;;formazione_di_pino_post_incendio;7;0
250;1626099.72717575;4840458.66590855;162;;formazione_di_pino_post_incendio;7;0
415;1625451.03513653;4840389.58328802;162;;formazione_di_pino_post_incendio;7;0
518;1625900.85019879;4840449.40794254;162;;formazione_di_pino_post_incendio;7;0
674;1626081.18391942;4840298.01899625;162;;formazione_di_pino_post_incendio;7;0
736;1625670.22085824;4840250.46002136;162;;formazione_di_pino_post_incendio;7;0
757;1625953.07399763;4840493.81890828;162;;formazione_di_pino_post_incendio;7;0
812;1626264.20758002;4840395.50452157;162;;formazione_di_pino_post_incendio;7;0
858;1625498.34303682;4840476.72127294;162;;formazione_di_pino_post_incendio;7;0
965;1625673.51970367;4840233.68504974;162;;formazione_di_pino_post_incendio;7;0
7;1623537.97492088;4840182.91730435;163;;formazione_di_pino_post_incendio;7;0
23;1623372.05331967;4840080.70566138;163;;formazione_di_pino_post_incendio;7;0
25;1623955.92764141;4839368.68012007;163;;formazione_di_pino_post_incendio;7;0
44;1623638.14936254;4839408.43374576;163;;formazione_di_pino_post_incendio;7;0
46;1624128.35604197;4839916.59112112;163;;formazione_di_pino_post_incendio;7;0
58;1624923.83522726;4840601.65484605;163;;formazione_di_pino_post_incendio;7;0
67;1624387.46587624;4840433.3456366;163;;formazione_di_pino_post_incendio;7;0
78;1624858.68397109;4839402.19778817;163;;formazione_di_pino_post_incendio;7;0
79;1624955.30708139;4839274.31739746;163;;formazione_di_pino_post_incendio;7;0
87;1624695.45533727;4839591.05719441;163;;formazione_di_pino_post_incendio;7;0
103;1625054.77961081;4839484.6786071;163;;formazione_di_pino_post_incendio;7;0
113;1625226.70554443;4839623.20783016;163;;formazione_di_pino_post_incendio;7;0
119;1624766.09493431;4840301.91062386;163;;formazione_di_pino_post_incendio;7;0
