id;xcoord;ycoord;fid;castanea;vege;cat_vege;z_coord
;m;m;;;;;m
V;R;R;;;V;K;A
;;;;;;; 
id_cat;x;y;;;name_vegetation;category;absolute_depth
;;;;;;; 
526;1622167.195;4840859.1453;215;;agricolo_/_altre_superf._non_boscate;9;0
555;1622167.195;4840659.1453;215;;agricolo_/_altre_superf._non_boscate;9;0
584;1622167.195;4840459.1453;215;;agricolo_/_altre_superf._non_boscate;9;0
585;1622367.195;4840459.1453;215;;agricolo_/_altre_superf._non_boscate;9;0
496;1621967.195;4841059.1453;215;;agricolo_/_altre_superf._non_boscate;9;0
524;1621767.195;4840859.1453;215;;agricolo_/_altre_superf._non_boscate;9;0
525;1621967.195;4840859.1453;215;;agricolo_/_altre_superf._non_boscate;9;0
552;1621567.195;4840659.1453;215;;agricolo_/_altre_superf._non_boscate;9;0
553;1621767.195;4840659.1453;215;;agricolo_/_altre_superf._non_boscate;9;0
554;1621967.195;4840659.1453;215;;agricolo_/_altre_superf._non_boscate;9;0
581;1621567.195;4840459.1453;215;;agricolo_/_altre_superf._non_boscate;9;0
582;1621767.195;4840459.1453;215;;agricolo_/_altre_superf._non_boscate;9;0
583;1621967.195;4840459.1453;215;;agricolo_/_altre_superf._non_boscate;9;0
611;1621767.195;4840259.1453;215;;agricolo_/_altre_superf._non_boscate;9;0
95;1622967.195;4843859.1453;217;;agricolo_/_altre_superf._non_boscate;9;0
800;1624767.195;4839059.1453;224;;agricolo_/_altre_superf._non_boscate;9;0
801;1624967.195;4839059.1453;224;;agricolo_/_altre_superf._non_boscate;9;0
744;1625167.195;4839459.1453;225;;agricolo_/_altre_superf._non_boscate;9;0
