Timestamp;Temp. Ambiente
2023-04-21 08:20:27;10.82
2023-04-21 08:40:27;10.83
2023-04-21 09:20:27;10.84
2023-04-21 13:00:24;11.74
2023-04-21 13:20:24;11.48
2023-04-21 13:40:24;11.46
2023-04-21 14:00:24;11.44
2023-04-21 14:20:23;11.46
2023-04-21 14:40:23;11.52
2023-04-21 15:20:23;11.53
2023-04-21 15:40:22;11.59
2023-04-21 16:00:22;11.55
2023-04-21 16:20:22;11.49
2023-04-21 16:40:22;11.51
2023-04-21 17:00:22;11.49
2023-04-21 17:20:21;11.5
2023-04-21 17:40:21;11.47
2023-04-21 18:00:21;11.46
2023-04-21 18:20:21;11.43
2023-04-21 18:40:20;11.41
2023-04-21 19:00:20;11.38
2023-04-21 19:20:20;11.33
2023-04-21 19:40:20;11.31
2023-04-21 20:00:20;11.29
2023-04-21 20:20:19;11.27
2023-04-21 20:40:19;11.27
2023-04-21 21:00:19;11.22
2023-04-21 21:20:19;11.2
2023-04-21 21:40:18;11.18
2023-04-21 22:00:18;11.16
2023-04-21 22:40:18;11.11
2023-04-21 23:00:18;11.1
2023-04-21 23:20:17;11.06
2023-04-21 23:40:17;11.05
2023-04-22 00:00:19;11.01
2023-04-22 00:20:17;10.98
2023-04-22 00:40:16;10.98
2023-04-22 01:00:16;10.97
2023-04-22 01:20:16;10.96
2023-04-22 01:40:16;10.95
2023-04-22 02:00:16;10.95
2023-04-22 02:40:15;10.97
2023-04-22 03:00:15;10.96
2023-04-22 03:20:15;10.92
2023-04-22 03:40:14;10.87
2023-04-22 04:00:14;10.88
2023-04-22 04:20:14;10.82
2023-04-22 05:20:13;10.84
2023-04-22 05:40:13;10.82
2023-04-22 06:00:13;10.8
2023-04-22 06:20:13;10.76
2023-04-22 07:00:12;10.81
2023-04-22 07:20:12;10.89
2023-04-22 07:40:12;10.91
2023-04-22 08:00:12;10.94
2023-04-22 08:20:11;10.95
2023-04-22 08:40:11;10.99
2023-04-22 09:00:11;11.01
2023-04-22 09:20:11;11.03
2023-04-22 09:40:11;11.06
2023-04-22 10:20:10;11.2
2023-04-22 10:40:10;11.48
2023-04-22 11:00:10;11.73
2023-04-22 11:20:09;11.7
2023-04-22 11:40:09;11.79
2023-04-22 12:00:10;11.86
2023-04-22 12:20:09;11.68
2023-04-22 12:40:09;11.56
2023-04-22 13:00:08;11.5
2023-04-22 13:20:08;11.49
2023-04-22 13:40:08;11.51
2023-04-22 14:00:09;11.49
2023-04-22 14:20:07;11.51
2023-04-22 14:40:07;11.51
2023-04-22 15:00:07;11.56
2023-04-22 15:20:07;11.59
2023-04-22 15:40:07;11.6
2023-04-22 16:00:06;11.58
2023-04-22 16:20:06;11.93
2023-04-22 16:40:06;12.39
2023-04-22 17:00:06;12.18
2023-04-22 17:20:06;11.86
2023-04-22 17:40:06;11.71
2023-04-22 18:00:05;11.65
2023-04-22 18:20:05;11.62
2023-04-22 18:40:05;11.59
2023-04-22 19:00:04;11.52
2023-04-22 19:20:04;11.48
2023-04-22 19:40:04;11.47
2023-04-22 20:00:04;11.39
2023-04-22 20:20:04;11.33
2023-04-22 20:40:04;11.28
2023-04-22 21:00:03;11.29
2023-04-22 21:20:03;11.19
2023-04-22 21:40:03;11.18
2023-04-22 22:00:02;11.18
2023-04-22 22:20:02;11.15
2023-04-22 22:40:02;11.13
2023-04-22 23:00:02;11.14
2023-04-22 23:20:02;11.06
2023-04-22 23:40:01;11.01
2023-04-23 00:00:01;11.03
2023-04-23 00:20:01;10.99
2023-04-23 00:40:01;10.99
2023-04-23 01:00:00;10.95
2023-04-23 01:20:00;10.96
2023-04-23 01:40:00;10.95
2023-04-23 02:00:00;10.97
2023-04-23 02:20:00;10.99
2023-04-23 02:39:59;10.97
2023-04-23 02:59:59;11.01
