X;Y;Z;S;A;Q;C
1416690.066461;4856676.185547;-1.25;540.928985;0.194533;174.713207;1
1416690.442181;4856675.855646;-1.25;551.858288;0.196589;176.379368;1
1416690.817901;4856675.525746;-1.25;557.290374;0.20053;174.614836;1
1416691.193621;4856675.195845;-1.25;553.289466;0.202983;171.266904;1
1416691.569341;4856674.865944;-1.25;538.373932;0.198706;170.236173;1
1416691.945061;4856674.536044;-1.25;505.544887;0.187799;169.139698;1
1416692.320781;4856674.206143;-1.25;476.77623;0.18276;163.913279;1
1416692.696501;4856673.876243;-1.25;462.308883;0.187194;155.17419;1
1416693.072222;4856673.546342;-1.25;437.568168;0.190888;144.027927;1
1416693.447942;4856673.216441;-1.25;419.538495;0.191212;137.859391;1
1416693.823662;4856672.886541;-1.25;406.784152;0.198065;129.043538;1
1416694.199382;4856672.55664;-1.25;398.534373;0.205487;121.860106;1
1416694.575102;4856672.22674;-1.25;409.539259;0.214138;120.16591;1
1416694.950822;4856671.896839;-1.25;421.845312;0.236949;111.861001;1
1416695.326542;4856671.566939;-1.25;421.405717;0.245906;107.674074;1
1416695.702262;4856671.237038;-1.25;437.725973;0.249225;110.354508;1
1416696.077982;4856670.907137;-1.25;452.255152;0.248145;114.513883;1
1416696.453703;4856670.577237;-1.25;458.977334;0.245736;117.355228;1
1416696.829423;4856670.247336;-1.25;476.415818;0.244124;122.618227;1
1416697.205143;4856669.917436;-1.25;483.392091;0.244398;124.27428;1
1416697.580863;4856669.587535;-1.25;471.941002;0.217586;136.281265;1
1416697.956583;4856669.257634;-1.25;472.305793;0.199989;148.387603;1
1416698.332303;4856668.927734;-1.25;458.892459;0.181604;158.769309;1
1416698.708023;4856668.597833;-1.25;448.689039;0.165957;169.874947;1
1416699.083743;4856668.267933;-1.25;444.582817;0.149048;187.416278;1
1416699.459463;4856667.938032;-1.25;426.941592;0.130523;205.523847;1
1416699.835184;4856667.608132;-1.25;408.84984;0.113378;226.576829;1
1416700.210904;4856667.278231;-1.25;409.012919;0.10668;240.899221;1
1416700.586624;4856666.94833;-1.25;404.89503;0.103044;246.888386;1
1416700.962344;4856666.61843;-1.25;399.919456;0.101828;246.765039;1
1416701.338064;4856666.288529;-1.25;396.273923;0.101412;245.520056;1
1416701.713784;4856665.958629;-1.25;389.780787;0.095457;256.561565;1
1416702.089504;4856665.628728;-1.25;382.769928;0.098266;244.744962;1
1416702.465224;4856665.298827;-1.25;381.556733;0.102276;234.40458;1
1416702.840944;4856664.968927;-1.25;370.441554;0.106123;219.325152;1
1416703.216665;4856664.639026;-1.25;364.571336;0.103629;221.045835;1
1416703.592385;4856664.309126;-1.25;361.750626;0.116038;195.879195;1
1416703.968105;4856663.979225;-1.25;351.67977;0.131831;167.613428;1
1416704.343825;4856663.649324;-1.25;343.868428;0.150741;143.330927;1
1416704.719545;4856663.319424;-1.25;341.715259;0.160107;134.101621;1
1416705.095265;4856662.989523;-1.25;346.454719;0.174629;124.654786;1
1416705.470985;4856662.659623;-1.25;355.918759;0.188743;118.484263;1
1416705.846705;4856662.329722;-1.25;361.650259;0.19934;113.991848;1
1416706.222425;4856661.999822;-1.25;371.21335;0.193651;120.443633;1
1416706.598146;4856661.669921;-1.25;387.62305;0.191449;127.214258;1
1416706.973866;4856661.34002;-1.25;407.708096;0.197139;129.944312;1
1416707.349586;4856661.01012;-1.25;431.67021;0.201625;134.520392;1
1416707.725306;4856660.680219;-1.25;436.93383;0.190012;144.48198;1
1416708.101026;4856660.350319;-1.25;440.114517;0.182183;151.787993;1
1416708.476746;4856660.020418;-1.25;435.789373;0.178031;153.802002;1
1416708.852466;4856659.690517;-1.25;428.799526;0.177175;152.065723;1
1416709.228186;4856659.360617;-1.25;422.788059;0.16638;159.661551;1
1416709.603906;4856659.030716;-1.25;410.212125;0.146564;175.857539;1
1416709.979627;4856658.700816;-1.25;396.917001;0.128181;194.560652;1
1416710.355347;4856658.370915;-1.25;397.319571;0.118521;210.632722;1
1416710.731067;4856658.041015;-1.25;399.832714;0.105275;238.633676;1
1416711.106787;4856657.711114;-1.25;409.457841;0.095557;269.233231;1
1416711.482507;4856657.381213;-1.25;420.849283;0.087464;302.32749;1
1416711.858227;4856657.051313;-1.25;431.844234;0.081665;332.255748;1
1416712.233947;4856656.721412;-1.25;450.041937;0.076086;371.643744;1
1416712.609667;4856656.391512;-1.25;469.256409;0.071497;412.381563;1
1416712.985387;4856656.061611;-1.25;475.908273;0.068759;434.881188;1
1416713.361108;4856655.73171;-1.25;482.008285;0.06429;471.074195;1
1416713.736828;4856655.40181;-1.25;486.350248;0.060109;508.383604;1
1416685.182099;4856680.474254;-1.75;500.014431;0.10584;296.833995;1
1416685.557819;4856680.144354;-1.75;508.26396;0.111124;287.383781;1
1416685.933539;4856679.814453;-1.75;515.439048;0.118205;273.981495;1
1416686.309259;4856679.484553;-1.75;520.234795;0.122296;267.280129;1
1416686.68498;4856679.154652;-1.75;528.296793;0.130148;255.046469;1
1416687.0607;4856678.824751;-1.75;533.725918;0.134288;249.725109;1
1416687.43642;4856678.494851;-1.75;537.405701;0.136663;247.076329;1
1416687.81214;4856678.16495;-1.75;540.751949;0.135627;250.513429;1
1416688.18786;4856677.83505;-1.75;547.420079;0.136051;252.813264;1
1416688.56358;4856677.505149;-1.75;557.139522;0.136032;257.337321;1
1416688.9393;4856677.175249;-1.75;567.076525;0.142407;250.201412;1
1416689.31502;4856676.845348;-1.75;571.958;0.147837;243.087088;1
1416689.690741;4856676.515447;-1.75;580.648881;0.153094;238.30657;1
1416690.066461;4856676.185547;-1.75;588.170814;0.155019;238.396349;1
1416690.442181;4856675.855646;-1.75;592.895555;0.156395;238.19695;1
1416690.817901;4856675.525746;-1.75;594.267792;0.161375;231.379661;1
1416691.193621;4856675.195845;-1.75;585.906906;0.159322;231.064597;1
1416691.569341;4856674.865944;-1.75;579.17017;0.158813;229.139147;1
