X;Y;Z;CO2;lCO2;T
m;m;m;[mol/m2];[mol/m2];Celsius
R+;R+;A;R+;R;R+
;;;;; 
relative_X;relative_Y;height;flux;Log_flux;temperature
;;arbitrary 0;;; 
475;550;0;11.5;1.06;36.4
475;525;0;53.1;1.73;37.3
475;500;0;15.9;1.20;38.2
475;475;0;14.4;1.16;35.6
475;450;0;6.63;0.82;30.5
475;425;0;5.12;0.71;29.3
475;400;0;70.1;1.85;27.3
475;375;0;11.3;1.05;33.8
475;350;0;5.80;0.76;30.3
475;325;0;9.00;0.95;31.7
475;300;0;45.93;1.66;30.5
475;275;0;1.52;0.18;28.0
475;250;0;5.06;0.70;27.0
475;225;0;1.52;0.18;29.9
475;200;0;1.97;0.30;25.9
475;175;0;29.8;1.47;22.8
475;150;0;26.6;1.43;23.9
475;125;0;1.07;0.03;24.4
500;600;0;11.3;1.05;36.5
500;575;0;6.24;0.80;32.2
500;550;0;12.6;1.10;36.2
500;525;0;166;2.22;36.2
500;500;0;5.25;0.72;32.6
500;475;0;8.47;0.93;33.9
500;450;0;5.66;0.75;30.6
500;425;0;0.265;-0.58;29.5
500;400;0;3.46;0.54;27.1
500;375;0;19.2;1.28;31.3
500;350;0;33.7;1.53;30.2
500;325;0;28.2;1.45;36.5
500;300;0;16.3;1.21;30.5
500;275;0;3.01;0.48;27.5
500;250;0;2.31;0.36;29.6
500;225;0;11.3;1.05;27.8
500;200;0;6.68;0.82;28.8
500;175;0;12.4;1.09;27.8
500;150;0;22.1;1.34;24.2
500;125;0;3.64;0.56;25.8
500;100;0;1.88;0.27;25.2
525;600;0;13.8;1.14;33.3
525;575;0;25.4;1.41;33.6
525;550;0;23.3;1.37;37.7
525;525;0;87.7;1.94;49.0
525;500;0;140;2.15;43.3
525;475;0;432;2.64;45.8
525;450;0;166;2.22;48.3
525;425;0;163.96;2.21;40.3
525;400;0;179;2.25;43.9
525;375;0;115;2.06;27.7
525;350;0;87.8;1.94;29.5
525;325;0;2.50;0.40;32.0
525;300;0;23.7;1.38;30.6
525;275;0;27.0;1.43;24.4
525;250;0;2.36;0.37;24.5
525;225;0;17.9;1.25;26.2
525;200;0;12.8;1.11;26.2
525;175;0;26.1;1.42;28.2
525;150;0;20.7;1.32;28.0
525;125;0;30.3;1.48;26.2
525;100;0;0.991;0.00;23.2
550;600;0;18.7;1.27;32.7
550;575;0;103;2.01;31.9
550;550;0;121;2.08;31.2
550;525;0;20.5;1.31;33.9
550;500;0;42.0;1.62;34.9
550;475;0;31.8;1.50;36.0
550;450;0;93.3;1.97;37.0
550;425;0;333;2.52;36.7
550;400;0;81.58;1.91;33.2
550;375;0;392.12;2.59;49.1
550;350;0;63.71;1.80;33.9
550;325;0;17.38;1.24;35.7
550;300;0;36.74;1.57;28.0
550;275;0;5.81;0.76;27.9
550;250;0;3.98;0.60;29.6
550;225;0;16.89;1.23;30.4
550;200;0;63.90;1.81;41.0
550;175;0;6.45;0.81;33.8
550;150;0;47.31;1.67;33.3
550;125;0;199.52;2.30;34.0
550;100;0;198.53;2.30;26.0
575;600;0;5.70;0.76;32.0
575;575;0;14.6;1.16;34.4
575;550;0;42.4;1.63;32.9
575;525;0;23.2;1.37;31.3
575;500;0;24.2;1.38;30.1
575;475;0;36.0;1.56;31.8
575;450;0;59.1;1.77;34.9
575;425;0;75.46;1.88;32.3
575;400;0;50.7;1.71;31.3
575;375;0;115.56;2.06;34.2
575;350;0;148.16;2.17;34.0
575;325;0;103.71;2.02;30.4
575;300;0;2.54;0.40;28.7
575;275;0;27.7;1.44;26.8
575;250;0;4.57;0.66;30.8
575;225;0;9.73;0.99;32.5
575;200;0;43.9;1.64;33.5
575;175;0;18.0;1.26;32.3
575;150;0;23.7;1.38;32.8
575;125;0;39.1;1.59;27.7
575;100;0;16.8;1.23;28.4
600;600;0;29.8;1.47;31.0
600;575;0;6.98;0.84;31.8
600;550;0;15.4;1.19;32.0
600;525;0;59.5;1.77;34.8
600;500;0;58.6;1.77;29.0
600;475;0;40.4;1.61;28.0
