id;date;east_UTM;north_UTM;forecast
;;m;m; 
V;V;R;R;R+
;;;; 
id_pluv;date;x_coord_UTM;y_coord_UTM;cumulative
;;;; 
4430620084831;090320180800;458854;4906209.35;0.014
4431000077442;090320180800;399924.63;4907268.34;0.007
4431010099845;090320180800;578602.55;4906983.9;0.001
4431090094410;090320180800;535254.57;4906696.06;0.03
4431270095486;090320180800;543834.88;4906947.76;0.062
4431320081598;090320180800;433075.08;4907200.21;0.013
4431330081596;090320180800;433059.24;4907211.48;0.013
4431880093298;090320180800;526382.29;4907531.87;0.047
4432190093453;090320180800;527616.88;4907881.29;0.085
4432220093455;090320180800;527632.68;4907914.68;0.008
4432320096148;090320180800;549105.76;4908151.5;0.249
4432710091691;090320180800;513565.48;4908414.82;0.075
4433300083829;090320180800;450884.3;4909241.41;0.06
4433300100335;090320180800;582478.55;4909575.61;0.0991
4433420080872;090320180800;427311.05;4909594.67;0.009
4433430083478;090320180800;448087.1;4909407.47;0.071
4433440075586;090320180800;385169.43;4910222.03;0.004
4433540084801;090320180800;458635.27;4909454.26;0.049
4433620092104;090320180800;516855.86;4909433.22;0.063
4433910098221;090320180800;565617.83;4910062.43;0.171
4434170101403;090320180800;590979.77;4910654.87;0.015
4434210093562;090320180800;528476.3;4910128.73;0.012
4434560084375;090320180800;455246.9;4910609.65;0.061
4434700091593;090320180800;512779.81;4910623.65;0.044
4434970096991;090320180800;555802.6;4911148.85;0.18
4435050094808;090320180800;538403.03;4911112.48;0.041
4435240095841;090320180800;546634.68;4911377.01;0.008
4435290097641;090320180800;560979.96;4911550.54;0.254
4435450092093;090320180800;516762.98;4911465.68;0.035
4436180098966;090320180800;571529.16;4912646.11;0.002
4436190085273;090320180800;462415.12;4912374.98;0.03
4436190102008;090320180800;595769.57;4912967.48;0.002
4436330101056;090320180800;588181.34;4913016.21;0.006
4436640084667;090320180800;457589.41;4912904.47;0.039
4436660099559;090320180800;576248.33;4913232.7;0.001
4436690083225;090320180800;446100.03;4913044.9;0.057
4436810079644;090320180800;417568.56;4913476.49;0.011
4436920098830;090320180800;570436.57;4913456.31;0.012
4436920098832;090320180800;570452.5;4913456.48;0.13
4436940098928;090320180800;571217.15;4913486.99;0.001
4436960081910;090320180800;435625.17;4913439.86;0.039
4437060075275;090320180800;382762.28;4914287.07;0.005
