cat;easting;northing;symbol;na;mg;k;ca;al;fe;ti;p;mn;ba;sr;s;li;be;b;bi;sc;v;cr;co;ni;cu;zn;ga;ge;arsenico;rb;y;zr;nb;mo;ag;indium;sn;sb;te;cs;cd;se;w;au;tl;pb;u;hg;hf;ta;th;la;ce;pr;nd;sm;eu;gd;tb;dy;ho;er;tm;yb;lu
-;m;m;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
V;m;m;V;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
46;483933.39;4106764.84;S48;380;4500;2800;25000;26800;29100;890;1110;578;104;148;5000;24.4;1.2;33;0.25;4.6;63;58;10.5;38.1;31.9;58.4;8.4;0.05;7.2;33.1;22.4;5;5.2;1.34;0.174;0.04;10;0.54;0.06;1.8;0.62;0.5;0.2;3.4;0.44;33.1;0.9;150;0.1;0.025;1.7;27.8;54;6.7;27.3;5.1;1.2;5.1;0.7;3.6;0.7;1.9;0.3;1.4;0.2
47;358609.14;4212656.6;S49;160;2000;1600;3500;10600;15200;160;580;1180;95.7;23;5000;9.8;0.5;8;0.19;1.5;23;17;5.9;9.8;9.7;31.4;4.24;0.05;2.3;30.4;3.89;0.1;0.9;0.77;0.064;0.01;3.09;0.21;0.04;1.23;0.11;0.3;0.2;1.6;0.28;25.1;0.6;80;0.05;0.025;1.1;14.3;31.2;3.3;12.6;2.4;0.3;1.6;0.2;0.9;0.1;0.4;0.05;0.2;0.05
48;529875.76;4211469.85;S50;420;1900;1800;6800;10800;26300;1440;430;989;104;29;5000;9;1.8;13;0.11;2.5;14;7;2.9;4.7;4.9;199;6.53;0.05;2.7;16.4;16.9;25.2;29.9;2.36;0.517;0.06;3.45;0.25;0.02;0.64;1.01;0.1;0.3;1.4;0.13;34.9;1.4;140;0.3;0.025;6.6;34.3;104;7.7;27.7;5.3;0.8;4.7;0.7;4.1;0.7;2.1;0.3;1.8;0.2
49;361662.18;4196407.14;S51;140;1800;1600;5400;9500;13100;130;660;677;88.1;27.2;5000;7.4;0.6;11;0.12;1.2;20;15;4.4;7.7;9.8;38;3.64;0.05;2.6;17.4;3.29;0.9;1.9;0.59;0.061;0.01;2.96;0.12;0.02;0.83;0.1;0.5;0.1;0.25;0.2;14.7;0.5;80;0.05;0.025;0.7;11.6;26.3;2.7;10;1.8;0.3;1.5;0.2;0.8;0.1;0.3;0.05;0.2;0.05
50;445490.51;4111076.84;S52;210;2500;3300;2600;18100;24500;430;220;649;70.3;21.7;5000;12.1;1;15;0.15;5.1;44;26;9.3;19.6;13.2;39.5;5.73;0.05;11.4;24.3;11.5;7.9;1.6;1.56;0.845;0.03;2.9;0.27;0.08;1.42;0.06;0.3;0.2;1.2;0.23;15.8;0.5;130;0.2;0.025;5.7;20;44.4;4.9;19.4;3.9;0.7;3.4;0.5;2.4;0.4;1.1;0.1;0.8;0.1
51;326833.57;4181116.85;S53;610;7300;5800;73400;21000;30700;100;1090;407;105;659;5000;20.3;1.1;51;0.16;4.7;48;42;10.7;32.8;20.5;83.3;7.22;0.05;5.2;31.3;10.1;2.6;0.8;1.11;0.075;0.04;1.04;0.28;0.05;1.7;0.25;0.7;0.1;1.5;0.18;14;1.4;90;0.05;0.025;3.5;14.6;34.1;3.9;16.7;3;0.7;2.9;0.4;2;0.4;0.9;0.1;0.8;0.1
52;348600.46;4219778.39;S54;110;1000;1000;2100;5200;9100;100;330;358;31.5;17.1;5000;4.6;0.2;7;0.09;0.8;14;10;2;4.4;5.6;20.8;2.48;0.05;1.9;12.9;1.84;0.3;0.4;0.48;0.052;0.01;1.1;0.12;0.03;0.5;0.1;0.3;0.1;2;0.11;11.5;0.4;130;0.05;0.025;1.5;10;21.5;2.4;8.51;1.4;0.2;1.1;0.1;0.5;0.05;0.2;0.05;0.05;0.05
53;471601.02;4197811.95;NE1;3561;3840;8049;4800;53259;27370;4980;786;2014;379;114;940;;2;;0.67;8.5;74;62;20;34;18;79;;;8;90;24;216;;0.67;0.167;;;0.7;;4.7;0.167;1;1;1.67;;33;2.3;0.33;6.2;0.33;8.2;28.8;57;;36;4.4;1.1;;1.5;;;;;2.3;0.28
54;484035.03;4107744.99;IB2;3265;2100;6970;8040;20753;22050;1356;524;775;177;82;1030;;0.33;;0.67;2.9;32;28;5;18;15;26;;;9;50;9;204;;0.67;0.167;;;0.4;;0.9;0.167;1;1;1.67;;20;1.1;0.33;4.7;0.33;3.4;12.1;23;;6;1.5;0.5;;0.167;;;;;1.1;0.1
55;359012.96;4214441.99;MP1;2819;1560;6223;3880;19853;22330;1704;437;542;197;45;520;;0.33;;0.67;2.5;27;30;4;12;19;43;;;6;6.67;8;141;;0.67;0.167;;;0.4;;1.7;0.167;1;1;1.67;;16;0.167;0.33;3.6;0.33;3;11.9;24;;8;1.3;0.2;;0.167;;;;;0.8;0.13
