"id";"date";"lat";"lon";"forecast"
"4424400081958";"080320180200";"435870.83";"4899485.07";"0.027"
"4424500096147";"080320180200";"549162.85";"4899465.42";"0.272"
"4424690101517";"080320180200";"592036.34";"4900137.65";"0.306"
"4424970099658";"080320180200";"577190.07";"4900257.26";"0.32"
"4424990098400";"080320180200";"567146.21";"4900169.02";"0.403"
"4425000099690";"080320180200";"577445.16";"4900293.59";"0.314"
"4425780084492";"080320180200";"456114";"4900850.95";"0.08"
"4426000078056";"080320180200";"404740.84";"4901641.44";"0.006"
"4426390075183";"080320180200";"381815.09";"4902448.49";"0.182"
"4426430097370";"080320180200";"558908.57";"4901689.52";"0.325"
"4427000094297";"080320180200";"534377.14";"4902148.33";"0.262"
"4427470078364";"080320180200";"407222.58";"4903238.92";"0.205"
"4427470096596";"080320180200";"552721.35";"4902792.13";"0.289"
"4427520095977";"080320180200";"547781.08";"4902809.83";"0.297"
"4427780079022";"080320180200";"412478.31";"4903510.9";"0.011"
"4428240098635";"080320180200";"568984.42";"4903798.4";"0.305"
"4428360082053";"080320180200";"436671.95";"4903876.22";"0.082"
"4428420083714";"080320180200";"449925.92";"4903827.92";"0.105"
"4428430083714";"080320180200";"449926.01";"4903839.03";"0.078"
"4428610079539";"080320180200";"416615.73";"4904378.92";"0.206"
"4428650082025";"080320180200";"436451.66";"4904200.51";"0.013"
"4428970083006";"080320180200";"444281.91";"4904484.55";"0.108"
"4429320082979";"080320180200";"444069.82";"4904875.15";"0.017"
"4429510094814";"080320180200";"538486.98";"4904959.19";"0.288"
"4429670093735";"080320180200";"529878.29";"4905092.06";"0.014"
"4429680093736";"080320180200";"529886.22";"4905103.21";"0.007"
"4429850096775";"080320180200";"554128.02";"4905447.34";"0.276"
"4429860076386";"080320180200";"391481.3";"4906136.48";"0.154"
"4430000098000";"080320180200";"563898.45";"4905701.96";"0.305"
"4430350101195";"080320180200";"589379.66";"4906388.92";"0.438"
"4430410102168";"080320180200";"597139.85";"4906566.1";"0.364"
"4430540097658";"080320180200";"561164.72";"4906275.72";"0.316"
"4430620084830";"080320180200";"458846.02";"4906209.4";"0.062"
"4430620084831";"080320180200";"458854";"4906209.35";"0.014"
"4431000077442";"080320180200";"399924.63";"4907268.34";"0.116"
"4431010099845";"080320180200";"578602.55";"4906983.9";"0.3"
"4431090094410";"080320180200";"535254.57";"4906696.06";"0.182"
"4431270095486";"080320180200";"543834.88";"4906947.76";"0.265"
"4431320081598";"080320180200";"433075.08";"4907200.21";"0.013"
"4431330081596";"080320180200";"433059.24";"4907211.48";"0.096"
"4431880093298";"080320180200";"526382.29";"4907531.87";"0.262"
"4432190093453";"080320180200";"527616.88";"4907881.29";"0.205"
"4432220093455";"080320180200";"527632.68";"4907914.68";"0.008"
"4432320096148";"080320180200";"549105.76";"4908151.5";"0.307"
"4432710091691";"080320180200";"513565.48";"4908414.82";"0.294"
"4433300083829";"080320180200";"450884.3";"4909241.41";"0.079"
"4433300100335";"080320180200";"582478.55";"4909575.61";"0.055"
"4433420080872";"080320180200";"427311.05";"4909594.67";"0.02"
"4433430083478";"080320180200";"448087.1";"4909407.47";"0.172"
"4433440075586";"080320180200";"385169.43";"4910222.03";"0.012"
"4433540084801";"080320180200";"458635.27";"4909454.26";"0.093"
"4433620092104";"080320180200";"516855.86";"4909433.22";"0.274"
"4433910098221";"080320180200";"565617.83";"4910062.43";"0.379"
"4434170101403";"080320180200";"590979.77";"4910654.87";"0.32"
"4434210093562";"080320180200";"528476.3";"4910128.73";"0.04"
"4434560084375";"080320180200";"455246.9";"4910609.65";"0.082"
"4434700091593";"080320180200";"512779.81";"4910623.65";"0.168"
"4434970096991";"080320180200";"555802.6";"4911148.85";"0.38"
"4435050094808";"080320180200";"538403.03";"4911112.48";"0.257"
"4435240095841";"080320180200";"546634.68";"4911377.01";"0.008"
"4435290097641";"080320180200";"560979.96";"4911550.54";"0.46"
"4435450092093";"080320180200";"516762.98";"4911465.68";"0.142"
"4436180098966";"080320180200";"571529.16";"4912646.11";"0.288"
"4436190085273";"080320180200";"462415.12";"4912374.98";"0.049"
"4436190102008";"080320180200";"595769.57";"4912967.48";"0.305"
"4436330101056";"080320180200";"588181.34";"4913016.21";"0.301"
"4436640084667";"080320180200";"457589.41";"4912904.47";"0.06"
"4436660099559";"080320180200";"576248.33";"4913232.7";"0.143"
"4436690083225";"080320180200";"446100.03";"4913044.9";"0.057"
"4436810079644";"080320180200";"417568.56";"4913476.49";"0.09"
"4436920098830";"080320180200";"570436.57";"4913456.31";"0.012"
"4436920098832";"080320180200";"570452.5";"4913456.48";"0.377"
"4436940098928";"080320180200";"571217.15";"4913486.99";"0.132"
"4436960081910";"080320180200";"435625.17";"4913439.86";"0.141"
"4437060075275";"080320180200";"382762.28";"4914287.07";"0.01"
"4437230085732";"080320180200";"466078.72";"4913510.1";"0.178"
"4437490094577";"080320180200";"536546.79";"4913812.19";"0.073"
"4437780081139";"080320180200";"429492.03";"4914414.23";"0.226"
"4438240085556";"080320180200";"464682.58";"4914639.42";"0.014"
"4438310095842";"080320180200";"546618.33";"4914787.1";"0.31"
"4438400090607";"080320180200";"504917.75";"4914722.91";"0.043"
"4438720080178";"080320180200";"421848.79";"4915545.66";"0.078"
"4438780075472";"080320180200";"384365.76";"4916169.57";"0.009"
"4439170078147";"080320180200";"405678.73";"4916259.58";"0.017"
"4439360092710";"080320180200";"521665.85";"4915823.16";"0.103"
"4439370092710";"080320180200";"521665.82";"4915834.27";"0.052"
"4439920082803";"080320180200";"442769.09";"4916661.34";"0.048"
"4440040089459";"080320180200";"495774.45";"4916544.2";"0.056"
"4440230082722";"080320180200";"442127.11";"4917011.38";"0.011"
"4440290090932";"080320180200";"507504.17";"4916824.69";"0.238"
"4440350086477";"080320180200";"472029.18";"4916947.46";"0.074"
"4440530096205";"080320180200";"549491.21";"4917274.26";"0.312"
"4440580100147";"080320180200";"580879.56";"4917643.25";"0.348"
"4440610096822";"080320180200";"554403.46";"4917402.21";"0.384"
"4440640086246";"080320180200";"470191.21";"4917277.76";"0.091"
"4440670085260";"080320180200";"462340.33";"4917351.8";"0.102"
