east;north;height;cat;T_CORR
;;;; 
R+;R+;D;;R
;;;;
x_coordinate;y_coordinate;depth;cat;temperature
;;;;
572937.90661841;4922263.94868978;-4036.9;233;119
548512.49055089;4970425.66764587;-4373.7;234;106
483454.50398283;5033252.29792465;-6429;235;194
479243.719992;5036775.47729611;-6050;236;176
501645.32351521;5020643.66843176;-5230.5;237;143
448325.37183209;5016577.62169129;-3470.1;238;104
517629.52445059;5000560.23656799;-4048;239;103
585562.9422528;4982856.97419825;-4566.5;240;97
626448.61215107;4945774.57899554;-2158.7;241;55
580858.43400258;4982073.49983652;-1294.8;242;46
574071.32644516;5042955.91296622;-5492.95;243;146
565144.07762551;5037890.18719024;-5938;244;145
553919.79799556;5018096.24785601;-1725;245;58
510262.25666247;5016707.96403304;-4997.1;246;142
562052.27528244;5025714.91979951;-1781.65;247;62
473069.85724248;4994438.37416682;-4646.9;248;114
551410.05589652;5038384.87104027;-6997.4;249;174
515158.40758478;5008441.37160803;-6049.8;250;153
582933.9798597;5019255.02966412;-2404.05;251;69
576209.98668506;5004148.45602824;-2431.1;252;72
528556.82253996;5045094.15039663;-4067;253;108
629243.68416885;5009697.25484707;-4729.5;254;65
620605.03986423;4913550.126973;-2315;255;110
506540.50951767;5037255.62499915;-4354;256;128
599342.97162948;4998101.49275595;-3376.45;257;82
564756.22109248;5001699.17160108;-2441.65;258;72
544087.48853251;5038573.58840274;-5778;259;152
551209.31637925;5044782.87145157;-6364;260;157
481536.19849357;5043000.93147857;-6338.6;262;178
543855.76949398;5037072.08402409;-4880;263;118
544210.06657017;5038918.86855734;-5692;264;154
564208.36807085;4983517.60695089;-3483.1;265;92
540069.77704964;5032724.95711101;-2069.15;266;64
481812.09769729;5041222.54643197;-6144.8;267;175
532705.00438653;4991365.96775925;-3922.05;269;108
572937.90661841;4922263.94868978;-4132.4;270;128
548512.49055089;4970425.66764587;-5016.4;271;118
448325.37183209;5016577.62169129;-4314.8;272;124
517629.52445059;5000560.23656799;-4463.5;273;113
585562.9422528;4982856.97419825;-4880;274;103
580858.43400258;4982073.49983652;-1524.8;275;47
574071.32644516;5042955.91296622;-6682.95;276;175
